I,A,NAME,First Names,S,NATION,Nan,PEOPLE,date,month,year,ROUTE,NOTE,EXP,LEADER,
110,111,STEFKO,Bogdan,Nan,Pl,Nan,Nan,24,8,1993,Kinshofer (variant 1),Nan,Pl,Ryszard Pawłowski,
111,112,KONEWKA,Miroslaw,Nan,Pl,Nan,Nan,28,8,1993,Kinshofer (variant 1),Nan,Pl,Ryszard Pawłowski,
112,113,SCHLEYPEN,Rüdiger,Nan,Ger,Nan,Nan,28,8,1993,Kinshofer (variant 1),Nan,Pl,Ryszard Pawłowski,
113,114,AGRAZ,José-Ramón,Nan,E,Nan,Aragonese,23,6,1994,Kinshofer (variant 1),Nan,E,Antonio Ubieto,
114,115,CASTILLÓN,Joaquín,Nan,E,Nan,Aragonese,23,6,1994,Kinshofer (variant 1),Nan,E,Antonio Ubieto,
115,116,ORTIZ,Lorenzo,Nan,E,Nan,Aragonese,23,6,1994,Kinshofer (variant 1),Nan,E,Antonio Ubieto,
116,117,ABE,Yukio,Nan,Jp,Nan,Nan,23,7,1995,Rakhiot Flank (variant),Nan,Jp,Hiroshi Sakai,
117,118,AKIYAMA,Takeshi,Nan,Jp,Nan,Nan,23,7,1995,Rakhiot Flank (variant),Nan,Jp,Hiroshi Sakai,
118,119,SAKAI,Hiroshi,Nan,Jp,Nan,Nan,23,7,1995,Rakhiot Flank (variant),Nan,Jp,Hiroshi Sakai,
119,120,WIELICKI,Krzysztof,Nan,Pl,Nan,Nan,1,9,1996,Kinshofer (variant 1),Nan,Pl,Krzysztof Wielicki,
120,121,AKBU,Nan,Nan,Chn,21,Tibetan,15,6,1997,Kinshofer (variant 1),Nan,Chn/Pak,Samdrub,
121,122,BIANBA ZAXI,Nan,Nan,Chn,Nan,Tibetan,15,6,1997,Kinshofer (variant 1),Nan,Chn/Pak,Samdrub,
122,123,CERING DOJE,Nan,Nan,Chn,Nan,Tibetan,15,6,1997,Kinshofer (variant 1),Nan,Chn/Pak,Samdrub,
123,124,JIABU,Nan,Nan,Chn,Nan,Tibetan,15,6,1997,Kinshofer (variant 1),Nan,Chn/Pak,Samdrub,
124,125,LUOZE,Nan,Nan,Chn,Nan,Tibetan,15,6,1997,Kinshofer (variant 1),Nan,Chn/Pak,Samdrub,
125,126,RENA,Nan,Nan,Chn,Nan,Tibetan,15,6,1997,Kinshofer (variant 1),Nan,Chn/Pak,Samdrub,
126,127,BAIG,Aziz,Nan,Pak,Nan,Nan,15,6,1997,Kinshofer (variant 1),Nan,Chn/Pak,Samdrub,
Nan,128,ULLAH,Mohammad,2,Pak,Nan,Nan,15,6,1997,Kinshofer (variant 1),Nan,Chn/Pak,Samdrub,
127,129,SAWADA,Minoru,Nan,Jp,Nan,Nan,7,7,1997,Kinshofer (variant 1),Nan,Jp,Minoru Sawada,
128,130,PARK,Jung-Hun,Nan,SK,Nan,Nan,7,7,1997,Kinshofer (variant 1),Nan,SK,Yoon Kye-Joong,
129,131,KIM,Kyung-Soo,Nan,SK,Nan,Nan,7,7,1997,Kinshofer (variant 1),Nan,SK,Yoon Kye-Joong,
130,132,SHIN,Sang-Man,Nan,SK,Nan,Nan,7,7,1997,Kinshofer (variant 1),Nan,SK,Yoon Kye-Joong,
131,133,KIM,Joo-Hyung,Nan,SK,Nan,Nan,9,7,1997,Kinshofer (variant 1),Nan,SK,Park Sang-Su,
132,134,MO,Sang-Hyun,Nan,SK,Nan,Nan,9,7,1997,Kinshofer (variant 1),Nan,SK,Park Sang-Su,
133,135,BUHLER,Carlos P,Nan,USA,Nan,Nan,14,7,1997,Kinshofer (variant 1),Nan,USA/Rus,Carlos Buhler (USA),
134,136,DUSHARIN,Ivan,Nan,Rus,22,Nan,14,7,1997,Kinshofer (variant 1),Nan,USA/Rus,Carlos Buhler (USA),
135,137,KOLISHNICHENKO,Viktor,Nan,Rus,Nan,Nan,18,7,1997,Kinshofer (variant 1),Nan,USA/Rus,Carlos Buhler (USA),
136,138,VOLKOV,Andrei,Nan,Rus,Nan,Nan,18,7,1997,Kinshofer (variant 1),Nan,USA/Rus,Carlos Buhler (USA),
137,139,KASHU,Shin,Nan,Jp,Nan,Nan,18,7,1997,Kinshofer (variant 1),Nan,Jp,Masatsugu Kajiura,
138,140,OTANI,Atsushi,Nan,Jp,Nan,Nan,18,7,1997,Kinshofer (variant 1),Nan,Jp,Masatsugu Kajiura,
139,141,YAMAMOTO,Hideo,Nan,Jp,Nan,Nan,18,7,1997,Kinshofer (variant 1),Nan,Jp,Masatsugu Kajiura,
140,142,HIRAOKA,Ryuseki,Nan,Jp,Nan,Nan,19,7,1997,Kinshofer (variant 1),Nan,Jp,Minoru Sawada,
141,143,ONO,Takeshi,Nan,Jp,Nan,Nan,19,7,1997,Kinshofer (variant 1),Nan,Jp,Minoru Sawada,
142,144,YANAGIHARA,Yoshio,Nan,Jp,Nan,Nan,19,7,1997,Kinshofer (variant 1),Nan,Jp,Minoru Sawada,
143,145,BRETCHA,Joaquim,Nan,E,Nan,Catalan,27,7,1997,Kinshofer (variant 1),Nan,E,Joan Colet,
144,146,COLET,Joan,Nan,E,Nan,Catalan,27,7,1997,Kinshofer (variant 1),died on descent,E,Joan Colet,
145,147,COMERMA,Toni,Nan,E,Nan,Catalan,27,7,1997,Kinshofer (variant 1),Nan,E,Joan Colet,
146,148,SALLENT,Eduard,Nan,E,Nan,Catalan,27,7,1997,Kinshofer (variant 1),Nan,E,Joan Colet,
147,149,CIOROIANU,Mihai,Nan,Rom,23,Nan,27,7,1997,Kinshofer (variant 1),Nan,Rom,Mihai Cio,
148,150,BERSHOV,Sergei,Nan,Ukr,24,Nan,31,7,1997,Kinshofer (variant 1),Nan,Ukr,Vladimir Sviridenko,
149,151,TERZEOUL,Vladislav,Nan,Ukr,Nan,Nan,31,7,1997,Kinshofer (variant 1),Nan,Ukr,Vladimir Sviridenko,
150,152,BENET,Romano,Nan,It,Nan,Nan,20,7,1998,Kinshofer (variant 1),Nan,Internat,Romano Benet (It),
151,153,MEROI,Nives,f,It,6,Nan,20,7,1998,Kinshofer (variant 1),Nan,Internat,Romano Benet (It),
152,154,ALI,Rozi,Nan,Pak,Nan,Nan,21,7,1998,Kinshofer (variant 1),Nan,Internat,Romano Benet (It),
153,155,HINKES,Alan,Nan,UK,Nan,Nan,21,7,1998,Kinshofer (variant 1),Nan,Internat,Romano Benet (It),
154,156,LOCK,Andrew,Nan,Aus,25,Nan,21,7,1998,Kinshofer (variant 1),Internat,Romano Benet (It),Nan,
